"Process Group","Process","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"Planning","Create WBS","A project manager is breaking down the project deliverables into smaller, more manageable components. The team stops when they reach the lowest level of the hierarchy, where cost and duration can be reliably estimated. What is this level called?","A. Planning Package","B. Control Account","C. Work Package","D. Activity","C","Solution: C. The Work Package is the lowest level of the WBS. It is the point at which the cost and duration of the work can be reliably estimated and managed."
"Planning","Create WBS","The project sponsor asks to see the 'Scope Baseline'. Which three documents must the project manager present?","A. Project Scope Statement, WBS, and WBS Dictionary","B. Project Charter, Scope Statement, and WBS","C. WBS, Schedule Baseline, and Requirements Documentation","D. Scope Management Plan, WBS, and WBS Dictionary","A","Solution: A. The Scope Baseline consists of three specific documents: The Project Scope Statement, the WBS, and the WBS Dictionary."
"Planning","Create WBS","A team member is confused about the specific details of a Work Package listed in the WBS. Where should the project manager direct them to find detailed information like the code of account, responsible organization, and acceptance criteria?","A. The Project Charter","B. The WBS Dictionary","C. The Activity List","D. The Requirements Traceability Matrix","B","Solution: B. The WBS Dictionary provides the detailed information about each component in the WBS, including acceptance criteria, assumptions, and responsible parties."
"Planning","Create WBS","During a scope review, the project manager notices a task being performed that is not in the WBS. What does this indicate?","A. The WBS is incomplete, or scope creep is occurring.","B. The team is being proactive.","C. The critical path has changed.","D. The project is under budget.","A","Solution: A. The 100% Rule states that the WBS represents 100% of the project scope. If work is being done that is not in the WBS, it is either unauthorized (scope creep) or the WBS is missing authorized work."
"Planning","Create WBS","In an agile project, how is the concept of a WBS typically represented?","A. It is not used at all.","B. By the Product Backlog, decomposed into Epics, Features, and User Stories.","C. By the Sprint Burndown Chart.","D. By the Retrospective notes.","B","Solution: B. While agile doesn't always use a formal WBS, the decomposition of scope is handled via the Product Backlog, breaking large items (Epics) into smaller items (User Stories)."
"Planning","Plan Schedule Management","You are starting a project with a very tight deadline. You need to establish the criteria and activities for developing, monitoring, and controlling the schedule. Which document do you create?","A. Schedule Baseline","B. Project Schedule","C. Schedule Management Plan","D. Activity List","C","Solution: C. The Schedule Management Plan establishes the policies, procedures, and documentation for planning, developing, managing, executing, and controlling the project schedule."
"Planning","Plan Schedule Management","During the Plan Schedule Management process, the team decides that all schedule estimates must be provided in 'Hours' and that the schedule will be updated weekly. This is an example of defining:","A. Units of Measure and Reporting Formats","B. The Critical Path","C. Resource Optimization","D. Schedule Compression","A","Solution: A. The Schedule Management Plan defines the Units of Measure (e.g., hours vs. days) and Reporting Formats (e.g., frequency of updates)."
"Planning","Plan Schedule Management","A project manager is using an adaptive (agile) life cycle. How does the Schedule Management Plan differ from a predictive one?","A. It will require a fixed Gantt chart for the whole year.","B. It will likely use on-demand scheduling or iterative scheduling with a backlog.","C. It focuses only on the Critical Path Method.","D. It does not require any planning.","B","Solution: B. In adaptive lifecycles, the plan focuses on shorter cycles (iterations) or on-demand scheduling (Kanban) rather than a long-term fixed schedule."
"Planning","Plan Schedule Management","Which of the following is NOT an output of the Plan Schedule Management process?","A. Schedule Management Plan","B. Project Schedule","C. None (It produces a plan, not a schedule)","D. Updates to the Project Management Plan","B","Solution: B. The Project Schedule (the actual timeline) is created in the 'Develop Schedule' process. This process only creates the *plan* for how to manage the schedule."
"Planning","Plan Schedule Management","The project manager consults the Enterprise Environmental Factors (EEF) while planning the schedule. Which of the following is an EEF?","A. Scheduling software available in the organization","B. Templates from previous projects","C. Lessons learned repository","D. Change control procedures","A","Solution: A. Scheduling software is a tool/system provided by the organization's environment (EEF). Templates and lessons learned are Organizational Process Assets (OPA)."
"Planning","Define Activities","The project team is taking the Work Packages from the WBS and breaking them down into specific actions required to produce the deliverables. This process is called:","A. Create WBS","B. Define Activities","C. Sequence Activities","D. Estimate Activity Resources","B","Solution: B. Define Activities is the process of decomposing Work Packages into the specific activities (tasks) necessary to complete the work."
"Planning","Define Activities","You are planning a long-term project. You detail the work for the next 3 months but leave the work for the following year at a high level. What is this technique called?","A. Progressive Elaboration","B. Rolling Wave Planning","C. Decomposition","D. Precedence Diagramming","B","Solution: B. Rolling Wave Planning is an iterative planning technique where the work to be accomplished in the near term is planned in detail, while the work in the future is planned at a higher level."
"Planning","Define Activities","Which list includes all schedule activities and a description of the scope of work for each activity in sufficient detail?","A. Activity Attributes","B. Milestone List","C. Activity List","D. WBS","C","Solution: C. The Activity List is a comprehensive list that includes all schedule activities required on the project."
"Planning","Define Activities","While defining activities, the project manager identifies several significant points or events in the project that have zero duration. These are documented in the:","A. Activity List","B. Milestone List","C. WBS Dictionary","D. Risk Register","B","Solution: B. Milestones are significant events with zero duration. They are tracked in the Milestone List."
"Planning","Define Activities","Why is the Scope Baseline a critical input to Define Activities?","A. It provides the budget constraints.","B. It contains the WBS Work Packages that need to be decomposed.","C. It defines the project team roles.","D. It outlines the quality standards.","B","Solution: B. You cannot define activities without knowing the deliverables. The WBS (part of the Scope Baseline) contains the Work Packages that are broken down into activities."
"Planning","Sequence Activities","A project manager is creating a network diagram. Activity A must finish before Activity B can start. This is an example of which logical relationship?","A. Start-to-Start (SS)","B. Finish-to-Finish (FF)","C. Start-to-Finish (SF)","D. Finish-to-Start (FS)","D","Solution: D. Finish-to-Start (FS) is the most common relationship: The successor (B) cannot start until the predecessor (A) has finished."
"Planning","Sequence Activities","The team identifies that 'Pouring Concrete' must happen before 'Framing', simply due to the physical nature of the work. This is what type of dependency?","A. Discretionary Dependency","B. Mandatory Dependency","C. External Dependency","D. Internal Dependency","B","Solution: B. Mandatory dependencies (Hard Logic) are legally or contractually required or inherent in the nature of the work (e.g., you must build the foundation before the roof)."
"Planning","Sequence Activities","You are sequencing activities and decide to overlap two phases to save time. You allow Phase 2 to start 5 days before Phase 1 is finished. This 5-day overlap is represented as:","A. Lag","B. Lead","C. Float","D. Slack","B","Solution: B. A Lead is the amount of time a successor activity can be advanced with respect to a predecessor (an overlap). A Lag is a delay."
"Planning","Sequence Activities","Which diagramming method is used to represent the sequence of activities and their dependencies?","A. Pareto Chart","B. Precedence Diagramming Method (PDM)","C. Scatter Diagram","D. Control Chart","B","Solution: B. The Precedence Diagramming Method (PDM) is used to construct a schedule model in which activities are represented by nodes and linked by dependencies (Project Schedule Network Diagrams)."
